,det9,det11,det13,det15,det17,det18,det19,det20,det21,det23,totalct,month,day,hour,minute,day-of-week,min_bin
2018-10-18 09:15:00,4,5,5,0,6,0,2,0,6,6,34,10,18,9,15,3,37
2018-10-18 09:30:00,11,20,9,19,25,0,35,0,12,13,144,10,18,9,30,3,38
2018-10-18 09:45:00,12,14,4,11,19,0,31,0,6,7,104,10,18,9,45,3,39
2018-10-18 10:00:00,8,17,7,18,15,0,31,0,12,11,119,10,18,10,0,3,40
2018-10-18 10:15:00,9,17,2,11,20,0,43,0,6,4,112,10,18,10,15,3,41
2018-10-18 10:30:00,7,19,8,11,22,0,36,0,8,7,118,10,18,10,30,3,42
2018-10-18 10:45:00,11,26,5,8,28,0,28,0,9,10,125,10,18,10,45,3,43
2018-10-18 11:00:00,9,29,6,16,22,0,53,0,16,14,165,10,18,11,0,3,44
2018-10-18 11:15:00,9,19,7,22,13,0,15,0,12,11,108,10,18,11,15,3,45
2018-10-18 11:30:00,6,17,7,21,15,0,27,0,10,8,111,10,18,11,30,3,46
2018-10-18 11:45:00,7,12,10,19,17,0,25,0,15,11,116,10,18,11,45,3,47
2018-10-18 12:00:00,9,18,8,18,11,0,26,0,9,8,107,10,18,12,0,3,48
2018-10-18 12:15:00,8,21,5,21,23,0,22,0,9,8,117,10,18,12,15,3,49
2018-10-18 12:30:00,8,19,12,25,9,0,30,0,10,10,123,10,18,12,30,3,50
2018-10-18 12:45:00,9,19,6,22,15,0,40,0,9,10,130,10,18,12,45,3,51
2018-10-18 13:00:00,13,19,7,12,21,0,31,0,4,3,110,10,18,13,0,3,52
2018-10-18 13:15:00,9,27,6,15,20,0,25,0,5,5,112,10,18,13,15,3,53
2018-10-18 13:30:00,13,22,7,12,14,0,29,0,11,11,119,10,18,13,30,3,54
2018-10-18 13:45:00,8,22,4,10,11,0,24,0,8,6,93,10,18,13,45,3,55
2018-10-18 14:00:00,11,23,13,1,15,0,27,0,13,10,113,10,18,14,0,3,56
2018-10-18 14:15:00,10,29,9,5,18,0,27,0,11,10,119,10,18,14,15,3,57
2018-10-18 14:30:00,11,28,7,2,24,0,31,0,11,13,127,10,18,14,30,3,58
2018-10-18 14:45:00,9,28,6,13,10,0,11,0,12,10,99,10,18,14,45,3,59
2018-10-18 15:00:00,11,24,6,14,5,0,48,0,11,10,129,10,18,15,0,3,60
2018-10-18 15:15:00,13,21,8,14,4,0,41,0,5,4,110,10,18,15,15,3,61
2018-10-18 15:30:00,14,15,9,7,11,0,30,0,10,7,103,10,18,15,30,3,62
2018-10-18 15:45:00,11,23,8,10,8,0,32,0,6,6,104,10,18,15,45,3,63
2018-10-18 16:00:00,10,16,8,5,11,0,27,0,8,4,89,10,18,16,0,3,64
2018-10-18 16:15:00,13,21,9,11,8,0,33,0,8,9,112,10,18,16,15,3,65
2018-10-18 16:30:00,8,20,6,12,10,0,23,0,8,8,95,10,18,16,30,3,66
2018-10-18 16:45:00,9,22,7,12,11,0,36,0,6,5,108,10,18,16,45,3,67
2018-10-18 17:00:00,10,28,9,15,9,0,28,0,5,6,110,10,18,17,0,3,68
2018-10-18 17:15:00,11,16,6,9,7,0,24,0,7,7,87,10,18,17,15,3,69
2018-10-18 17:30:00,7,24,4,12,9,0,47,0,8,10,121,10,18,17,30,3,70
2018-10-18 17:45:00,10,29,10,12,13,0,21,0,16,11,122,10,18,17,45,3,71
