,det33,det34,det35,det36,det37,det38,det39,det40,det41,det42,det43,det44,det45,det46,det47,det48,totalct,month,day,hour,minute,day-of-week,min_bin
2018-10-17 08:45:00,18,1,3,1,4,1,5,1,10,1,5,1,6,1,5,1,64,10,17,8,45,2,35
2018-10-17 09:00:00,39,0,9,0,18,0,11,0,33,0,10,0,13,0,9,0,142,10,17,9,0,2,36
2018-10-17 09:15:00,30,0,10,0,22,0,12,0,33,0,12,0,12,0,9,0,140,10,17,9,15,2,37
2018-10-17 09:30:00,41,0,8,0,27,0,9,0,27,0,11,0,9,0,10,0,142,10,17,9,30,2,38
2018-10-17 09:45:00,44,0,7,0,14,0,12,0,37,0,10,0,11,0,17,0,152,10,17,9,45,2,39
2018-10-17 10:00:00,45,0,9,0,24,0,9,0,29,0,7,0,11,0,13,0,147,10,17,10,0,2,40
2018-10-17 10:15:00,32,0,10,0,18,0,6,0,26,0,10,0,9,0,8,0,119,10,17,10,15,2,41
2018-10-17 10:30:00,23,0,5,0,18,0,13,0,22,0,12,0,16,0,14,0,123,10,17,10,30,2,42
2018-10-17 10:45:00,26,0,11,0,15,0,9,0,34,0,22,0,11,0,7,0,135,10,17,10,45,2,43
2018-10-17 11:00:00,34,0,10,0,19,0,10,0,28,0,11,0,13,0,12,0,137,10,17,11,0,2,44
2018-10-17 11:15:00,37,0,5,0,18,0,9,0,28,0,11,0,9,0,11,0,128,10,17,11,15,2,45
2018-10-17 11:30:00,51,0,9,0,15,0,9,0,36,0,12,0,10,0,13,0,155,10,17,11,30,2,46
2018-10-17 11:45:00,39,0,10,0,16,0,12,0,34,0,15,0,8,0,8,0,142,10,17,11,45,2,47
2018-10-17 12:00:00,40,0,7,0,10,0,11,0,18,0,15,0,7,0,7,0,115,10,17,12,0,2,48
2018-10-17 12:15:00,42,0,17,0,18,0,11,0,20,0,19,0,10,0,10,0,147,10,17,12,15,2,49
2018-10-17 12:30:00,35,0,9,0,17,0,11,0,36,0,17,0,11,0,14,0,150,10,17,12,30,2,50
2018-10-17 12:45:00,38,0,13,0,19,0,9,0,19,0,13,0,8,0,7,0,126,10,17,12,45,2,51
2018-10-17 13:00:00,33,0,9,0,19,0,9,0,25,0,15,0,13,0,9,0,132,10,17,13,0,2,52
2018-10-17 13:15:00,46,0,19,0,17,0,8,0,22,0,13,0,7,0,11,0,143,10,17,13,15,2,53
2018-10-17 13:30:00,38,0,10,0,17,0,10,0,26,0,16,0,9,0,14,0,140,10,17,13,30,2,54
2018-10-17 13:45:00,37,0,10,0,22,0,10,0,20,0,15,0,7,0,12,0,133,10,17,13,45,2,55
2018-10-17 14:00:00,32,0,11,0,20,0,11,0,29,0,13,0,12,0,17,0,145,10,17,14,0,2,56
2018-10-17 14:15:00,43,0,8,0,19,0,9,0,29,0,9,0,11,0,17,0,145,10,17,14,15,2,57
2018-10-17 14:30:00,25,0,11,0,18,0,12,0,18,0,17,0,13,0,12,0,126,10,17,14,30,2,58
2018-10-17 14:45:00,30,0,9,0,9,0,9,0,23,0,11,0,13,0,15,0,119,10,17,14,45,2,59
2018-10-17 15:00:00,22,0,9,0,13,0,11,0,31,0,20,0,13,0,13,0,132,10,17,15,0,2,60
2018-10-17 15:15:00,25,0,8,0,16,0,11,0,30,0,12,0,8,0,9,0,119,10,17,15,15,2,61
2018-10-17 15:30:00,21,0,10,0,20,0,12,0,22,0,16,0,11,0,9,0,121,10,17,15,30,2,62
2018-10-17 15:45:00,23,0,9,0,18,0,12,0,26,0,12,0,9,0,12,0,121,10,17,15,45,2,63
2018-10-17 16:00:00,33,0,6,0,13,0,12,0,28,0,15,0,13,0,9,0,129,10,17,16,0,2,64
2018-10-17 16:15:00,42,0,9,0,30,0,5,0,24,0,12,0,11,0,8,0,141,10,17,16,15,2,65
2018-10-17 16:30:00,32,0,10,0,17,0,11,0,27,0,18,0,11,0,9,0,135,10,17,16,30,2,66
2018-10-17 16:45:00,33,0,8,0,16,0,10,0,19,0,22,0,7,0,14,0,129,10,17,16,45,2,67
2018-10-17 17:00:00,24,0,10,0,9,0,18,0,7,0,12,0,9,0,10,0,99,10,17,17,0,2,68
2018-10-17 17:15:00,20,0,9,0,17,0,8,0,6,0,3,0,10,0,12,0,85,10,17,17,15,2,69
2018-10-17 17:30:00,20,0,15,0,11,0,11,0,21,0,13,0,8,0,9,0,108,10,17,17,30,2,70
2018-10-17 17:45:00,18,0,7,0,19,0,11,0,40,0,14,0,8,0,12,0,129,10,17,17,45,2,71
2018-10-17 18:00:00,37,0,12,0,19,0,10,0,24,0,15,0,10,0,10,0,137,10,17,18,0,2,72
2018-10-17 18:15:00,35,0,6,0,19,0,12,0,29,0,17,0,7,0,10,0,135,10,17,18,15,2,73
2018-10-17 18:30:00,36,0,8,0,26,0,9,0,40,0,12,0,5,0,7,0,143,10,17,18,30,2,74
2018-10-17 18:45:00,43,0,10,0,16,0,11,0,41,0,10,0,4,0,6,0,141,10,17,18,45,2,75
2018-10-17 19:00:00,42,0,10,0,13,0,8,0,35,0,9,0,6,0,10,0,133,10,17,19,0,2,76
2018-10-17 19:15:00,39,0,10,0,15,0,7,0,41,0,11,0,10,0,11,0,144,10,17,19,15,2,77
2018-10-17 19:30:00,55,0,7,0,19,0,6,0,42,0,9,0,7,0,6,0,151,10,17,19,30,2,78
2018-10-17 19:45:00,57,0,11,0,22,0,5,0,40,0,10,0,9,0,12,0,166,10,17,19,45,2,79
2018-10-17 20:00:00,41,0,7,0,9,0,8,0,40,0,6,0,10,0,10,0,131,10,17,20,0,2,80
2018-10-17 20:15:00,50,0,12,0,11,0,7,0,42,0,9,0,7,0,9,0,147,10,17,20,15,2,81
2018-10-17 20:30:00,39,0,17,0,15,0,7,0,36,0,9,0,5,0,4,0,132,10,17,20,30,2,82
2018-10-17 20:45:00,61,0,7,0,16,0,9,0,30,0,3,0,3,0,4,0,133,10,17,20,45,2,83
2018-10-17 21:00:00,46,0,10,0,9,0,7,0,34,0,3,0,3,0,2,0,114,10,17,21,0,2,84
2018-10-17 21:15:00,37,0,7,0,7,0,5,0,38,0,6,0,1,0,6,0,107,10,17,21,15,2,85
2018-10-17 21:30:00,42,0,11,0,11,0,5,0,42,0,2,0,4,0,3,0,120,10,17,21,30,2,86
2018-10-17 21:45:00,38,0,8,0,9,0,5,0,28,0,3,0,5,0,4,0,100,10,17,21,45,2,87
2018-10-17 22:00:00,27,0,10,0,9,0,3,0,30,0,1,0,3,0,6,0,89,10,17,22,0,2,88
2018-10-17 22:15:00,34,0,8,0,8,0,3,0,29,0,3,0,2,0,1,0,88,10,17,22,15,2,89
2018-10-17 22:30:00,35,0,9,0,6,0,4,0,25,0,2,0,1,0,3,0,85,10,17,22,30,2,90
2018-10-17 22:45:00,26,0,7,0,8,0,4,0,22,0,2,0,10,0,12,0,91,10,17,22,45,2,91
2018-10-17 23:00:00,25,0,10,0,7,0,7,0,19,0,0,0,1,0,0,0,69,10,17,23,0,2,92
2018-10-17 23:15:00,18,0,8,0,5,0,4,0,15,0,3,0,1,0,0,0,54,10,17,23,15,2,93
2018-10-17 23:30:00,19,0,2,0,8,0,2,0,17,0,0,0,4,0,2,0,54,10,17,23,30,2,94
2018-10-17 23:45:00,17,0,2,0,4,0,1,0,15,0,1,0,0,0,0,0,40,10,17,23,45,2,95
2018-10-18 00:00:00,17,0,2,0,7,0,3,0,16,0,2,0,1,0,1,0,49,10,18,0,0,3,0
2018-10-18 00:15:00,13,0,4,0,4,0,2,0,21,0,1,0,0,0,1,0,46,10,18,0,15,3,1
2018-10-18 00:30:00,8,0,5,0,4,0,3,0,12,0,1,0,0,0,0,0,33,10,18,0,30,3,2
2018-10-18 00:45:00,9,0,3,0,9,0,8,0,15,0,0,0,0,0,0,0,44,10,18,0,45,3,3
2018-10-18 01:00:00,9,0,3,0,2,0,5,0,11,0,1,0,0,0,0,0,31,10,18,1,0,3,4
2018-10-18 01:15:00,6,0,4,0,2,0,2,0,9,0,2,0,0,0,0,0,25,10,18,1,15,3,5
2018-10-18 01:30:00,10,0,7,0,6,0,4,0,14,0,0,0,0,0,0,0,41,10,18,1,30,3,6
2018-10-18 01:45:00,8,0,2,0,8,0,8,0,7,0,0,0,1,0,0,0,34,10,18,1,45,3,7
2018-10-18 02:00:00,8,0,1,0,2,0,2,0,10,0,0,0,0,0,0,0,23,10,18,2,0,3,8
2018-10-18 02:15:00,10,0,1,0,4,0,3,0,10,0,1,0,1,0,1,0,31,10,18,2,15,3,9
2018-10-18 02:30:00,7,0,3,0,3,0,1,0,13,0,3,0,0,0,0,0,30,10,18,2,30,3,10
2018-10-18 02:45:00,11,0,0,0,3,0,1,0,12,0,2,0,0,0,0,0,29,10,18,2,45,3,11
2018-10-18 03:00:00,4,0,2,0,3,0,4,0,14,0,1,0,0,0,0,0,28,10,18,3,0,3,12
2018-10-18 03:15:00,11,0,3,0,4,0,5,0,12,0,1,0,1,0,0,0,37,10,18,3,15,3,13
2018-10-18 03:30:00,10,0,4,0,4,0,1,0,14,0,1,0,0,0,0,0,34,10,18,3,30,3,14
2018-10-18 03:45:00,5,0,2,0,7,0,5,0,14,0,5,0,0,0,0,0,38,10,18,3,45,3,15
2018-10-18 04:00:00,9,0,1,0,5,0,4,0,24,0,3,0,0,0,0,0,46,10,18,4,0,3,16
2018-10-18 04:15:00,9,0,1,0,10,0,2,0,19,0,6,0,1,0,1,0,49,10,18,4,15,3,17
2018-10-18 04:30:00,21,0,12,0,18,0,9,0,32,0,2,0,1,0,1,0,96,10,18,4,30,3,18
2018-10-18 04:45:00,20,0,2,0,16,0,7,0,30,0,2,0,1,0,0,0,78,10,18,4,45,3,19
2018-10-18 05:00:00,32,0,3,0,10,0,3,0,30,0,3,0,4,0,4,0,89,10,18,5,0,3,20
2018-10-18 05:15:00,28,0,5,0,17,0,4,0,32,0,5,0,3,0,3,0,97,10,18,5,15,3,21
2018-10-18 05:30:00,44,0,7,0,17,0,7,0,33,0,5,0,4,0,4,0,121,10,18,5,30,3,22
2018-10-18 05:45:00,33,0,8,0,15,0,9,0,39,0,5,0,3,0,6,0,118,10,18,5,45,3,23
2018-10-18 06:00:00,37,0,4,0,13,0,8,0,30,0,7,0,5,0,8,0,112,10,18,6,0,3,24
2018-10-18 06:15:00,43,0,7,0,19,0,8,0,37,0,11,0,7,0,7,0,139,10,18,6,15,3,25
2018-10-18 06:30:00,41,0,7,0,21,0,9,0,35,0,11,0,11,0,12,0,147,10,18,6,30,3,26
2018-10-18 06:45:00,35,0,9,0,17,0,12,0,33,0,9,0,12,0,14,0,141,10,18,6,45,3,27
2018-10-18 07:00:00,34,0,7,0,14,0,9,0,34,0,13,0,13,0,10,0,134,10,18,7,0,3,28
2018-10-18 07:15:00,40,0,6,0,19,0,9,0,32,0,7,0,13,0,14,0,140,10,18,7,15,3,29
2018-10-18 07:30:00,44,0,6,0,10,0,13,0,24,0,7,0,9,0,42,0,155,10,18,7,30,3,30
2018-10-18 07:45:00,34,0,4,0,16,0,17,0,33,0,13,0,11,0,14,0,142,10,18,7,45,3,31
2018-10-18 08:00:00,29,0,8,0,17,0,9,0,38,0,9,0,12,0,14,0,136,10,18,8,0,3,32
2018-10-18 08:15:00,29,0,6,0,21,0,11,0,23,0,8,0,13,0,15,0,126,10,18,8,15,3,33
2018-10-18 08:30:00,23,0,6,0,22,0,7,0,29,0,10,0,9,0,18,0,124,10,18,8,30,3,34
2018-10-18 08:45:00,22,0,5,0,21,0,14,0,27,0,15,0,15,0,14,0,133,10,18,8,45,3,35
2018-10-18 09:00:00,31,0,9,0,9,0,7,0,32,0,18,0,11,0,13,0,130,10,18,9,0,3,36
2018-10-18 09:15:00,45,0,10,0,16,0,11,0,21,0,19,0,11,0,12,0,145,10,18,9,15,3,37
2018-10-18 09:30:00,15,0,12,0,23,0,16,0,25,0,14,0,12,0,18,0,135,10,18,9,30,3,38
2018-10-18 09:45:00,44,0,8,0,18,0,13,0,34,0,12,0,11,0,22,0,162,10,18,9,45,3,39
2018-10-18 10:00:00,31,0,8,0,18,0,12,0,31,0,15,0,17,0,21,0,153,10,18,10,0,3,40
2018-10-18 10:15:00,38,0,8,0,15,0,9,0,30,0,11,0,13,0,11,0,135,10,18,10,15,3,41
2018-10-18 10:30:00,38,0,8,0,11,0,11,0,26,0,15,0,12,0,15,0,136,10,18,10,30,3,42
2018-10-18 10:45:00,44,0,5,0,17,0,10,0,29,0,10,0,11,0,12,0,138,10,18,10,45,3,43
2018-10-18 11:00:00,38,0,12,0,15,0,8,0,33,0,13,0,13,0,16,0,148,10,18,11,0,3,44
2018-10-18 11:15:00,39,0,10,0,13,0,9,0,25,0,13,0,13,0,12,0,134,10,18,11,15,3,45
2018-10-18 11:30:00,37,0,9,0,19,0,10,0,32,0,13,0,12,0,8,0,140,10,18,11,30,3,46
2018-10-18 11:45:00,48,0,12,0,21,0,9,0,20,0,21,0,16,0,10,0,157,10,18,11,45,3,47
2018-10-18 12:00:00,37,0,12,0,16,0,9,0,24,0,26,0,10,0,16,0,150,10,18,12,0,3,48
2018-10-18 12:15:00,47,0,13,0,18,0,9,0,28,0,15,0,13,0,14,0,157,10,18,12,15,3,49
2018-10-18 12:30:00,44,0,8,0,17,0,10,0,24,0,15,0,15,0,15,0,148,10,18,12,30,3,50
2018-10-18 12:45:00,33,0,9,0,13,0,11,0,13,0,11,0,10,0,10,0,110,10,18,12,45,3,51
2018-10-18 13:00:00,31,0,9,0,20,0,11,0,30,0,16,0,13,0,17,0,147,10,18,13,0,3,52
2018-10-18 13:15:00,42,0,8,0,21,0,8,0,25,0,16,0,4,0,11,0,135,10,18,13,15,3,53
2018-10-18 13:30:00,26,0,13,0,20,0,11,0,23,0,21,0,11,0,16,0,141,10,18,13,30,3,54
2018-10-18 13:45:00,38,0,9,0,11,0,8,0,25,0,8,0,10,0,11,0,120,10,18,13,45,3,55
2018-10-18 14:00:00,38,0,8,0,20,0,9,0,26,0,12,0,10,0,12,0,135,10,18,14,0,3,56
