,det33,det35,det36,det37,det39,det41,det43,det45,det47,totalct,month,day,hour,minute,day-of-week,min_bin
2019-05-09 15:00:00,5,4,0,2,3,7,4,4,4,33,5,9,15,0,3,60
2019-05-09 15:15:00,0,0,0,0,0,0,0,0,0,0,5,9,15,15,3,61
2019-05-09 15:30:00,0,0,0,0,0,0,0,0,0,0,5,9,15,30,3,62
2019-05-09 15:45:00,0,0,0,0,0,0,0,0,0,0,5,9,15,45,3,63
2019-05-09 16:00:00,0,0,0,0,0,0,0,0,0,0,5,9,16,0,3,64
2019-05-09 16:15:00,0,0,0,0,0,0,0,0,0,0,5,9,16,15,3,65
2019-05-09 16:30:00,0,0,0,0,0,0,0,0,0,0,5,9,16,30,3,66
2019-05-09 16:45:00,0,0,0,0,0,0,0,0,0,0,5,9,16,45,3,67
2019-05-09 17:00:00,0,0,0,0,0,0,0,0,0,0,5,9,17,0,3,68
2019-05-09 17:15:00,0,0,0,0,0,0,0,0,0,0,5,9,17,15,3,69
2019-05-09 17:30:00,0,0,0,0,0,0,0,0,0,0,5,9,17,30,3,70
2019-05-09 17:45:00,0,0,0,0,0,0,0,0,0,0,5,9,17,45,3,71
2019-05-09 18:00:00,0,0,0,0,0,0,0,0,0,0,5,9,18,0,3,72
2019-05-09 18:15:00,0,0,0,0,0,0,0,0,0,0,5,9,18,15,3,73
2019-05-09 18:30:00,0,0,0,0,0,0,0,0,0,0,5,9,18,30,3,74
2019-05-09 18:45:00,0,0,0,0,0,0,0,0,0,0,5,9,18,45,3,75
2019-05-09 19:00:00,0,0,0,0,0,0,0,0,0,0,5,9,19,0,3,76
2019-05-09 19:15:00,0,0,0,0,0,0,0,0,0,0,5,9,19,15,3,77
2019-05-09 19:30:00,0,0,0,0,0,0,0,0,0,0,5,9,19,30,3,78
2019-05-09 19:45:00,0,0,0,0,0,0,0,0,0,0,5,9,19,45,3,79
2019-05-09 20:00:00,0,0,0,0,0,0,0,0,0,0,5,9,20,0,3,80
