,det33,det35,det37,det39,det41,det43,det45,det47,totalct,month,day,hour,minute,day-of-week,year,min_bin
2018-10-17 10:45:00,22,8,12,9,12,9,11,9,92,10,17,10,45,2,2018,43
2018-10-17 11:00:00,31,11,9,10,43,7,10,5,126,10,17,11,0,2,2018,44
2018-10-17 11:15:00,45,13,10,10,15,9,13,6,121,10,17,11,15,2,2018,45
2018-10-17 11:30:00,47,8,13,14,30,6,10,11,139,10,17,11,30,2,2018,46
2018-10-17 11:45:00,39,11,14,13,19,6,8,8,118,10,17,11,45,2,2018,47
2018-10-17 12:00:00,32,11,12,13,27,8,7,10,120,10,17,12,0,2,2018,48
2018-10-17 12:15:00,32,6,11,8,20,9,15,7,108,10,17,12,15,2,2018,49
2018-10-17 12:30:00,41,4,9,7,34,8,3,9,115,10,17,12,30,2,2018,50
2018-10-17 12:45:00,37,10,12,12,18,8,11,13,121,10,17,12,45,2,2018,51
2018-10-17 13:00:00,51,10,10,10,26,8,15,10,140,10,17,13,0,2,2018,52
2018-10-17 13:15:00,41,11,11,9,21,10,11,6,120,10,17,13,15,2,2018,53
2018-10-17 13:30:00,37,10,13,14,30,9,9,8,130,10,17,13,30,2,2018,54
2018-10-17 13:45:00,34,14,17,9,21,10,14,10,129,10,17,13,45,2,2018,55
2018-10-17 14:00:00,45,10,8,7,27,8,9,7,121,10,17,14,0,2,2018,56
2018-10-17 14:15:00,33,7,12,12,16,11,20,8,119,10,17,14,15,2,2018,57
2018-10-17 14:30:00,16,7,13,12,16,9,15,12,100,10,17,14,30,2,2018,58
2018-10-17 14:45:00,31,7,16,7,16,9,10,4,100,10,17,14,45,2,2018,59
2018-10-17 15:00:00,40,7,16,11,31,6,11,5,127,10,17,15,0,2,2018,60
2018-10-17 15:15:00,41,7,12,9,36,8,8,8,129,10,17,15,15,2,2018,61
2018-10-17 15:30:00,34,7,5,7,19,9,15,8,104,10,17,15,30,2,2018,62
2018-10-17 15:45:00,24,7,8,11,28,7,14,9,108,10,17,15,45,2,2018,63
2018-10-17 16:00:00,39,7,11,14,14,7,7,10,109,10,17,16,0,2,2018,64
2018-10-17 16:15:00,31,6,9,10,21,9,8,8,102,10,17,16,15,2,2018,65
2018-10-17 16:30:00,29,11,5,10,37,7,10,10,119,10,17,16,30,2,2018,66
2018-10-17 16:45:00,23,7,11,6,21,8,11,10,97,10,17,16,45,2,2018,67
